Dataset,Country,Target,Pattern,Rate,Method,MAE,nRMSE,n_rolls_used
COVID19_Study,Bhutan,new_cases,Block,0.1,LOCF,4.037234415433237,0.6388295597737736,3
COVID19_Study,Bhutan,new_cases,Block,0.1,Linear,19.430467763915658,3.8948546418448777,3
COVID19_Study,Bhutan,new_cases,Block,0.1,SAITS,19.25245199325556,2.778265098402502,3
COVID19_Study,Bhutan,new_cases,Block,0.3,LOCF,1.3191731477688466,0.3270205315687461,3
COVID19_Study,Bhutan,new_cases,Block,0.3,Linear,22.528691826920426,5.722619904252883,3
COVID19_Study,Bhutan,new_cases,Block,0.3,SAITS,12.519931481712218,2.6560165032482947,3
COVID19_Study,Bhutan,new_cases,Block,0.5,LOCF,10.449078048180256,2.6574557567304278,3
COVID19_Study,Bhutan,new_cases,Block,0.5,Linear,10.449078048180256,2.6574557567304278,3
COVID19_Study,Bhutan,new_cases,Block,0.5,SAITS,8.680251483495535,1.2811685834152555,3
COVID19_Study,Bhutan,new_cases,Point,0.1,LOCF,15.502024458388664,2.2700867740212405,3
COVID19_Study,Bhutan,new_cases,Point,0.1,Linear,15.508459029586188,2.2935871251544233,3
COVID19_Study,Bhutan,new_cases,Point,0.1,SAITS,10.549219151574496,1.6508232950523622,3
COVID19_Study,Bhutan,new_cases,Point,0.3,LOCF,6.65686192656202,1.0088198841930083,3
COVID19_Study,Bhutan,new_cases,Point,0.3,Linear,10.596602354996971,2.6988518219092392,3
COVID19_Study,Bhutan,new_cases,Point,0.3,SAITS,16.900066026883515,2.43557370989554,3
COVID19_Study,Bhutan,new_cases,Point,0.5,LOCF,21.64443245955876,,3
COVID19_Study,Bhutan,new_cases,Point,0.5,Linear,21.587425585836172,,3
COVID19_Study,Bhutan,new_cases,Point,0.5,SAITS,4.057192376218674,2.056775775779489,3
COVID19_Study,Bhutan,new_cases,Sequence,0.1,LOCF,15.03113199823669,2.200947213214977,3
COVID19_Study,Bhutan,new_cases,Sequence,0.1,Linear,25.621786396418297,3.675933849114032,3
COVID19_Study,Bhutan,new_cases,Sequence,0.1,SAITS,4.045139969626591,0.6392129732162409,3
COVID19_Study,Bhutan,new_cases,Sequence,0.3,LOCF,7.7658419119460245,2.0535654790490288,3
COVID19_Study,Bhutan,new_cases,Sequence,0.3,Linear,13.509764693677425,1.9793940306151412,3
COVID19_Study,Bhutan,new_cases,Sequence,0.3,SAITS,9.220036017417247,2.6223249633923587,3
COVID19_Study,Bhutan,new_cases,Sequence,0.5,LOCF,6.735379676733698,0.9964876863191652,3
COVID19_Study,Bhutan,new_cases,Sequence,0.5,Linear,15.97646229181971,3.3853515046105374,3
COVID19_Study,Bhutan,new_cases,Sequence,0.5,SAITS,32.17413117477372,4.636603722824192,3
COVID19_Study,Czechia,new_cases,Block,0.1,LOCF,2314.699024126998,1.406171037174958,3
COVID19_Study,Czechia,new_cases,Block,0.1,Linear,2563.7100295318023,1.6128749997262828,3
COVID19_Study,Czechia,new_cases,Block,0.1,SAITS,2096.934736545597,1.343512130309287,3
COVID19_Study,Czechia,new_cases,Block,0.3,LOCF,851.061414721821,0.5986369739979838,3
COVID19_Study,Czechia,new_cases,Block,0.3,Linear,2012.836688211986,1.3403394550657275,3
COVID19_Study,Czechia,new_cases,Block,0.3,SAITS,810.448658864413,0.5802415417578257,3
COVID19_Study,Czechia,new_cases,Block,0.5,LOCF,466.23369517390216,0.3508015455155879,3
COVID19_Study,Czechia,new_cases,Block,0.5,Linear,2380.4100415919506,1.5890975253646922,3
COVID19_Study,Czechia,new_cases,Block,0.5,SAITS,1141.763452872202,0.9576149928973346,3
COVID19_Study,Czechia,new_cases,Point,0.1,LOCF,462.3867852240801,0.4589936175878951,3
COVID19_Study,Czechia,new_cases,Point,0.1,Linear,2111.8860555376327,1.588101963663871,3
COVID19_Study,Czechia,new_cases,Point,0.1,SAITS,1251.126127017396,1.1560160693239485,3
COVID19_Study,Czechia,new_cases,Point,0.3,LOCF,2841.4547464017355,2.33194045885593,3
COVID19_Study,Czechia,new_cases,Point,0.3,Linear,769.9172420741191,1.2702035388795283,3
COVID19_Study,Czechia,new_cases,Point,0.3,SAITS,1793.084227819528,1.5117913903169178,3
COVID19_Study,Czechia,new_cases,Point,0.5,LOCF,2425.2315347237245,3.383784184548107,3
COVID19_Study,Czechia,new_cases,Point,0.5,Linear,3131.9997330495285,2.0622744445226546,3
COVID19_Study,Czechia,new_cases,Point,0.5,SAITS,1491.0330058072666,1.7223447730779817,3
COVID19_Study,Czechia,new_cases,Sequence,0.1,LOCF,1922.2736547855395,1.5420290784570005,3
COVID19_Study,Czechia,new_cases,Sequence,0.1,Linear,1032.8019840217062,0.8323596356657689,3
COVID19_Study,Czechia,new_cases,Sequence,0.1,SAITS,1367.2483852372638,1.5969981010843555,3
COVID19_Study,Czechia,new_cases,Sequence,0.3,LOCF,1502.9417746726956,1.2263222993485003,3
COVID19_Study,Czechia,new_cases,Sequence,0.3,Linear,1733.5123640873603,1.8545965548319914,3
COVID19_Study,Czechia,new_cases,Sequence,0.3,SAITS,754.0197269927801,0.6577871132829073,3
COVID19_Study,Czechia,new_cases,Sequence,0.5,LOCF,1487.5500422234513,2.2940590452984644,3
COVID19_Study,Czechia,new_cases,Sequence,0.5,Linear,494.1651471118842,0.8765521408087962,3
COVID19_Study,Czechia,new_cases,Sequence,0.5,SAITS,1387.7094343200254,1.7102332521336474,3
COVID19_Study,Montenegro,new_cases,Block,0.1,LOCF,77.40341034691248,0.31896244093493775,3
COVID19_Study,Montenegro,new_cases,Block,0.1,Linear,77.40341034691248,0.31896244093493775,3
COVID19_Study,Montenegro,new_cases,Block,0.1,SAITS,77.40334795873527,0.3189624939969652,3
COVID19_Study,Montenegro,new_cases,Block,0.3,LOCF,118.74425552971661,0.3608380162511892,3
COVID19_Study,Montenegro,new_cases,Block,0.3,Linear,118.74425552971661,0.3608380162511892,3
COVID19_Study,Montenegro,new_cases,Block,0.3,SAITS,118.74425537106124,0.41761967122741145,3
COVID19_Study,Montenegro,new_cases,Block,0.5,LOCF,114.70805783037629,0.3374637222101284,3
COVID19_Study,Montenegro,new_cases,Block,0.5,Linear,114.70805783037629,0.3374637222101284,3
COVID19_Study,Montenegro,new_cases,Block,0.5,SAITS,114.70772023084282,0.3374639947385943,3
COVID19_Study,Montenegro,new_cases,Point,0.1,LOCF,160.59348960486906,0.38166306224166024,3
COVID19_Study,Montenegro,new_cases,Point,0.1,Linear,160.6600386489715,0.4064694188845927,3
COVID19_Study,Montenegro,new_cases,Point,0.1,SAITS,97.53263170970033,0.31279889978848696,3
COVID19_Study,Montenegro,new_cases,Point,0.3,LOCF,190.42840479846512,0.43463694547444026,3
COVID19_Study,Montenegro,new_cases,Point,0.3,Linear,148.33819382052337,0.3956525858699643,3
COVID19_Study,Montenegro,new_cases,Point,0.3,SAITS,122.32512542388369,0.35304209989156515,3
COVID19_Study,Montenegro,new_cases,Point,0.5,LOCF,148.49541977686542,,3
COVID19_Study,Montenegro,new_cases,Point,0.5,Linear,146.24842254897314,,3
COVID19_Study,Montenegro,new_cases,Point,0.5,SAITS,74.16204497934034,0.4389502983039573,3
COVID19_Study,Montenegro,new_cases,Sequence,0.1,LOCF,130.36371079938752,0.49540070568111966,3
COVID19_Study,Montenegro,new_cases,Sequence,0.1,Linear,100.66956174852592,0.32295630583691326,3
COVID19_Study,Montenegro,new_cases,Sequence,0.1,SAITS,143.17374428398867,0.34896620827735925,3
COVID19_Study,Montenegro,new_cases,Sequence,0.3,LOCF,71.60437677561173,0.287741292166616,3
COVID19_Study,Montenegro,new_cases,Sequence,0.3,Linear,61.193434298836756,0.29826134844922786,3
COVID19_Study,Montenegro,new_cases,Sequence,0.3,SAITS,94.2117807474798,0.3545936958720908,3
COVID19_Study,Montenegro,new_cases,Sequence,0.5,LOCF,106.30986500305256,0.4592517655870005,3
COVID19_Study,Montenegro,new_cases,Sequence,0.5,Linear,90.03908221210752,0.3395834815456308,3
COVID19_Study,Montenegro,new_cases,Sequence,0.5,SAITS,107.27881068592875,0.29197213002068484,3
COVID19_Study,Sierra Leone,new_cases,Block,0.1,LOCF,1.1935921226228987,,3
COVID19_Study,Sierra Leone,new_cases,Block,0.1,Linear,1.1935921226228987,,3
COVID19_Study,Sierra Leone,new_cases,Block,0.1,SAITS,2.5299135115194242,,3
COVID19_Study,Sierra Leone,new_cases,Block,0.3,LOCF,2.535939301763262,,3
COVID19_Study,Sierra Leone,new_cases,Block,0.3,Linear,1.6742377621786935,,3
COVID19_Study,Sierra Leone,new_cases,Block,0.3,SAITS,0.3967671165637694,,3
COVID19_Study,Sierra Leone,new_cases,Block,0.5,LOCF,9.90855804511479,,3
COVID19_Study,Sierra Leone,new_cases,Block,0.5,Linear,1.9525769778660365,,3
COVID19_Study,Sierra Leone,new_cases,Block,0.5,SAITS,0.12544220847822934,,3
COVID19_Study,Sierra Leone,new_cases,Point,0.1,LOCF,0.7405490534646171,,3
COVID19_Study,Sierra Leone,new_cases,Point,0.1,Linear,3.227466344833374,,3
COVID19_Study,Sierra Leone,new_cases,Point,0.1,SAITS,1.9495090529832575,,3
COVID19_Study,Sierra Leone,new_cases,Point,0.3,LOCF,0.9548823322568621,,3
COVID19_Study,Sierra Leone,new_cases,Point,0.3,Linear,3.159371188708714,,3
COVID19_Study,Sierra Leone,new_cases,Point,0.3,SAITS,0.6225850231929542,1.7196092036741628,3
COVID19_Study,Sierra Leone,new_cases,Point,0.5,LOCF,0.5617178125040871,,3
COVID19_Study,Sierra Leone,new_cases,Point,0.5,Linear,1.7926844102995736,,3
COVID19_Study,Sierra Leone,new_cases,Point,0.5,SAITS,1.4235793844427138,3.171874207267358,3
COVID19_Study,Sierra Leone,new_cases,Sequence,0.1,LOCF,2.5193736808640614,,3
COVID19_Study,Sierra Leone,new_cases,Sequence,0.1,Linear,2.2044272933687483,,3
COVID19_Study,Sierra Leone,new_cases,Sequence,0.1,SAITS,2.3934978484840763,,3
COVID19_Study,Sierra Leone,new_cases,Sequence,0.3,LOCF,1.857957627092089,,3
COVID19_Study,Sierra Leone,new_cases,Sequence,0.3,Linear,1.5909639852387565,,3
COVID19_Study,Sierra Leone,new_cases,Sequence,0.3,SAITS,0.41469006226429883,1.5428367912553274,3
COVID19_Study,Sierra Leone,new_cases,Sequence,0.5,LOCF,2.1516111493110657,,3
COVID19_Study,Sierra Leone,new_cases,Sequence,0.5,Linear,1.0754879031862532,,3
COVID19_Study,Sierra Leone,new_cases,Sequence,0.5,SAITS,1.9221378313293778,3.322570652032704,3
COVID19_Study,Spain,new_cases,Block,0.1,LOCF,6445.9412501864135,1.1172445442387806,3
COVID19_Study,Spain,new_cases,Block,0.1,Linear,6445.9412501864135,1.1172445442387806,3
COVID19_Study,Spain,new_cases,Block,0.1,SAITS,6445.942060559057,1.117245044027552,3
COVID19_Study,Spain,new_cases,Block,0.3,LOCF,3852.401016023542,0.6860991958931402,3
COVID19_Study,Spain,new_cases,Block,0.3,Linear,3852.401016023542,0.6860991958931402,3
COVID19_Study,Spain,new_cases,Block,0.3,SAITS,3852.4038364589214,0.6860999676093593,3
COVID19_Study,Spain,new_cases,Block,0.5,LOCF,4218.879130430786,0.8060175091926111,3
COVID19_Study,Spain,new_cases,Block,0.5,Linear,4218.879130430786,0.8060175091926111,3
COVID19_Study,Spain,new_cases,Block,0.5,SAITS,4218.868201098588,0.806017945388196,3
COVID19_Study,Spain,new_cases,Point,0.1,LOCF,4003.8743047921785,0.7324274281113011,3
COVID19_Study,Spain,new_cases,Point,0.1,Linear,1804.6154240784902,0.36323929058637217,3
COVID19_Study,Spain,new_cases,Point,0.1,SAITS,4573.648278871535,0.7237500203359383,3
COVID19_Study,Spain,new_cases,Point,0.3,LOCF,4750.149678953258,0.934353826187163,3
COVID19_Study,Spain,new_cases,Point,0.3,Linear,5818.833702307194,1.026238133784871,3
COVID19_Study,Spain,new_cases,Point,0.3,SAITS,3081.7989454607346,0.5578290223687221,3
COVID19_Study,Spain,new_cases,Point,0.5,LOCF,5053.872461428599,,3
COVID19_Study,Spain,new_cases,Point,0.5,Linear,2226.1286722771997,,3
COVID19_Study,Spain,new_cases,Point,0.5,SAITS,3614.943030051521,0.7270374886526917,3
COVID19_Study,Spain,new_cases,Sequence,0.1,LOCF,5617.290797210698,1.0309263591324833,3
COVID19_Study,Spain,new_cases,Sequence,0.1,Linear,3131.9858169153863,0.543025691563321,3
COVID19_Study,Spain,new_cases,Sequence,0.1,SAITS,3571.4033594704897,0.6420290132695877,3
COVID19_Study,Spain,new_cases,Sequence,0.3,LOCF,5411.564613354525,0.9276341291793867,3
COVID19_Study,Spain,new_cases,Sequence,0.3,Linear,3866.738023603069,0.6944200619576278,3
COVID19_Study,Spain,new_cases,Sequence,0.3,SAITS,1917.4841257925145,0.4394131409693905,3
COVID19_Study,Spain,new_cases,Sequence,0.5,LOCF,4108.846062287688,0.8359746303468677,3
COVID19_Study,Spain,new_cases,Sequence,0.5,Linear,2493.5978929762327,0.48493650454743936,3
